qpc,native_working_set_bytes,wrapper_working_set_bytes,aggregate_working_set_bytes
1480030528163,304250880,80625664,384876544
1480030684340,304250880,80625664,384876544
1480030839135,304250880,80625664,384876544
1480030995135,304250880,80625664,384876544
1480031149582,304250880,80625664,384876544
1480031306316,304250880,80625664,384876544
1480031459765,304250880,80625664,384876544
1480031615763,304250880,80625664,384876544
1480031769998,304250880,80625664,384876544
1480031924829,304250880,80625664,384876544
1480032081086,304250880,80625664,384876544
1480032235674,304250880,80625664,384876544
1480032391559,304250880,80625664,384876544
1480032547408,304250880,80625664,384876544
1480032702593,304316416,80625664,384942080
1480032857967,304316416,80625664,384942080
1480032945995,304324608,80629760,384954368
1480033012814,304324608,80625664,384950272
1480033172660,304324608,80625664,384950272
1480033324423,304324608,80625664,384950272
1480033480984,304324608,80625664,384950272
1480033635111,304324608,80625664,384950272
1480033791080,304324608,80625664,384950272
1480033946921,304324608,80625664,384950272
1480034102485,304324608,80625664,384950272
1480034256792,304324608,80625664,384950272
1480034410008,304324608,80625664,384950272
1480034571311,304324608,80625664,384950272
1480034726788,304324608,80625664,384950272
1480034883983,304324608,80625664,384950272
1480035029298,304324608,80625664,384950272
1480035186008,304324608,80625664,384950272
1480035341313,304324608,80625664,384950272
1480035495556,304324608,80625664,384950272
1480035652548,304324608,80625664,384950272
1480035807283,304324608,80625664,384950272
1480035962940,304324608,80625664,384950272
1480036115782,304324608,80625664,384950272
1480036270427,304324608,80625664,384950272
1480036427431,304324608,80625664,384950272
1480036581963,304324608,80625664,384950272
1480036737898,304324608,80625664,384950272
1480036891237,304324608,80625664,384950272
1480037046428,304324608,80625664,384950272
1480037202613,304324608,80625664,384950272
1480037357172,303108096,80625664,383733760
1480037512881,304422912,80625664,385048576
1480037672561,304422912,80625664,385048576
1480037729752,304586752,80629760,385216512
1480037826869,304586752,80625664,385212416
1480037977600,304586752,80625664,385212416
1480038133419,304586752,80625664,385212416
1480038289045,304586752,80625664,385212416
1480038444026,304586752,80625664,385212416
1480038597165,304586752,80625664,385212416
1480038752187,304586752,80625664,385212416
1480038907788,304586752,80625664,385212416
1480039062699,304586752,80625664,385212416
1480039218501,304586752,80625664,385212416
1480039372462,304586752,80625664,385212416
1480039528041,304586752,80625664,385212416
1480039683278,304586752,80625664,385212416
1480039835271,304586752,80625664,385212416
1480039990751,304586752,80625664,385212416
1480040146924,304586752,80625664,385212416
1480040301951,304586752,80625664,385212416
1480040457163,304586752,80625664,385212416
1480040612239,304586752,80625664,385212416
1480040773048,304586752,80625664,385212416
1480040929184,304586752,80625664,385212416
1480041082872,304586752,80625664,385212416
1480041238203,304586752,80625664,385212416
1480041393488,304586752,80625664,385212416
1480041546873,304586752,80625664,385212416
1480041702926,304586752,80625664,385212416
1480041856877,304586752,80625664,385212416
1480042013105,304586752,80625664,385212416
1480042171279,303353856,80625664,383979520
1480042322905,305881088,80625664,386506752
1480042477677,305881088,80625664,386506752
1480042529792,305889280,80629760,386519040
1480042632179,305889280,80625664,386514944
1480042787345,305889280,80625664,386514944
1480042943241,305889280,80625664,386514944
1480043098607,305889280,80625664,386514944
1480043254842,305889280,80625664,386514944
1480043405356,305889280,80625664,386514944
1480043561417,305889280,80625664,386514944
1480043715596,305889280,80625664,386514944
1480043871222,305889280,80625664,386514944
1480044026515,305889280,80625664,386514944
1480044182977,305889280,80625664,386514944
1480044338291,305889280,80625664,386514944
1480044498623,305889280,80625664,386514944
1480044648988,305889280,80625664,386514944
1480044805101,305889280,80625664,386514944
1480044960516,305889280,80625664,386514944
1480045111669,305889280,80625664,386514944
1480045267245,305889280,80625664,386514944
1480045422596,305889280,80625664,386514944
1480045577627,305889280,80625664,386514944
1480045732114,305889280,80625664,386514944
1480045892121,305889280,80625664,386514944
1480046043976,305889280,80625664,386514944
1480046195589,305889280,80625664,386514944
1480046351453,305889280,80625664,386514944
1480046506808,305889280,80625664,386514944
1480046661853,305889280,80625664,386514944
1480046815564,305889280,80625664,386514944
1480046970355,304644096,80625664,385269760
1480047125678,305942528,80625664,386568192
1480047280807,305942528,80625664,386568192
1480047338020,306143232,80629760,386772992
1480047435881,306143232,80625664,386768896
1480047590473,306143232,80625664,386768896
1480047745453,306143232,80625664,386768896
1480047897178,306143232,80625664,386768896
1480048053989,306143232,80625664,386768896
1480048207861,306143232,80625664,386768896
1480048358169,306143232,80625664,386768896
1480048512343,306143232,80625664,386768896
1480048672462,306143232,80625664,386768896
1480048825753,306143232,80625664,386768896
1480048981931,306143232,80625664,386768896
1480049138105,306143232,80625664,386768896
1480049290097,306143232,80625664,386768896
1480049446767,306143232,80625664,386768896
1480049601543,306143232,80625664,386768896
1480049756509,306143232,80625664,386768896
1480049911955,306143232,80625664,386768896
1480050072457,306143232,80625664,386768896
1480050227498,306143232,80625664,386768896
1480050383642,306143232,80625664,386768896
1480050537719,306143232,80625664,386768896
1480050693183,306143232,80625664,386768896
1480050848963,306143232,80625664,386768896
1480051004392,306143232,80625664,386768896
1480051159586,306143232,80625664,386768896
1480051314727,306143232,80625664,386768896
1480051469174,306143232,80625664,386768896
1480051623963,306143232,80625664,386768896
1480051780512,304967680,80625664,385593344
1480051935477,306057216,80625664,386682880
1480052089515,306057216,80625664,386682880
1480052146880,306069504,80629760,386699264
1480052241480,306069504,80625664,386695168
1480052395844,306069504,80625664,386695168
1480052551841,306069504,80625664,386695168
1480052705387,306069504,80625664,386695168
1480052860604,306069504,80625664,386695168
1480053015354,306069504,80625664,386695168
1480053171297,306069504,80625664,386695168
1480053325888,306069504,80625664,386695168
1480053481072,306069504,80625664,386695168
1480053637624,306069504,80625664,386695168
1480053791538,306069504,80625664,386695168
1480053943804,306069504,80625664,386695168
1480054104802,306069504,80625664,386695168
1480054254435,306069504,80625664,386695168
1480054408689,306069504,80625664,386695168
1480054562559,306069504,80625664,386695168
1480054716931,306069504,80625664,386695168
1480054870457,306069504,80625664,386695168
1480055025615,306069504,80625664,386695168
1480055187343,306069504,80625664,386695168
1480055338488,306069504,80625664,386695168
1480055493141,306069504,80625664,386695168
1480055649033,306069504,80625664,386695168
1480055800576,306069504,80625664,386695168
1480055957035,306069504,80625664,386695168
1480056109899,306069504,80625664,386695168
1480056265351,306069504,80625664,386695168
1480056421577,306069504,80625664,386695168
1480056577126,304857088,80625664,385482752
1480056732563,306155520,80625664,386781184
1480056886959,306155520,80625664,386781184
1480056932365,306167808,80629760,386797568
1480057042140,306167808,80625664,386793472
1480057198571,306167808,80625664,386793472
1480057353651,306167808,80625664,386793472
1480057506961,306167808,80625664,386793472
1480057661344,306167808,80625664,386793472
1480057815339,306167808,80625664,386793472
1480057971018,306167808,80625664,386793472
1480058128471,306167808,80625664,386793472
1480058282158,306167808,80625664,386793472
1480058437059,306167808,80625664,386793472
1480058592371,306167808,80625664,386793472
1480058747259,306167808,80625664,386793472
1480058899993,306167808,80625664,386793472
1480059054983,306167808,80625664,386793472
1480059210363,306167808,80625664,386793472
1480059370727,306167808,80625664,386793472
1480059523727,306167808,80625664,386793472
1480059679212,306167808,80625664,386793472
1480059834172,306167808,80625664,386793472
1480059990971,306167808,80625664,386793472
1480060145198,306167808,80625664,386793472
1480060300712,306167808,80625664,386793472
1480060457368,306167808,80625664,386793472
1480060608753,306167808,80625664,386793472
1480060769188,306167808,80625664,386793472
1480060925833,306167808,80625664,386793472
1480061081378,306167808,80625664,386793472
1480061236061,306167808,80625664,386793472
1480061391708,304930816,80625664,385556480
1480061545674,306241536,80625664,386867200
1480061700876,306241536,80625664,386867200
1480061766837,306253824,80629760,386883584
1480061857357,306253824,80625664,386879488
1480062012304,306253824,80625664,386879488
1480062173326,306253824,80625664,386879488
1480062327260,306253824,80625664,386879488
1480062483198,306253824,80625664,386879488
1480062635585,306253824,80625664,386879488
1480062791129,306253824,80625664,386879488
1480062946403,306253824,80625664,386879488
1480063101686,306253824,80625664,386879488
1480063258178,306253824,80625664,386879488
1480063408496,306253824,80625664,386879488
1480063563435,306253824,80625664,386879488
1480063721151,306253824,80625664,386879488
1480063872455,306253824,80625664,386879488
1480064028145,306253824,80625664,386879488
1480064183498,306253824,80625664,386879488
1480064337711,306253824,80625664,386879488
1480064493618,306253824,80625664,386879488
1480064649147,306253824,80625664,386879488
1480064803792,306253824,80625664,386879488
1480064958387,306253824,80625664,386879488
1480065114310,306253824,80625664,386879488
1480065270027,306253824,80625664,386879488
1480065422395,306253824,80625664,386879488
1480065575008,306253824,80625664,386879488
1480065729339,306253824,80625664,386879488
1480065884910,306253824,80625664,386879488
1480066041052,306253824,80625664,386879488
1480066195999,305078272,80625664,385703936
1480066350838,306343936,80625664,386969600
1480066506159,306343936,80625664,386969600
1480066586347,306356224,80629760,386985984
1480066660926,306356224,80625664,386981888
1480066815992,306356224,80625664,386981888
1480066971244,306356224,80625664,386981888
1480067127447,306356224,80625664,386981888
1480067281474,306356224,80625664,386981888
1480067437638,306356224,80625664,386981888
1480067591850,306356224,80625664,386981888
1480067747458,306356224,80625664,386981888
1480067908495,306356224,80625664,386981888
1480068065263,306356224,80625664,386981888
1480068224965,306356224,80625664,386981888
1480068379907,306356224,80625664,386981888
1480068535615,306356224,80625664,386981888
1480068687418,306356224,80625664,386981888
1480068841065,306356224,80625664,386981888
1480068991959,306356224,80625664,386981888
1480069143606,306356224,80625664,386981888
1480069296162,306356224,80625664,386981888
1480069452305,306356224,80625664,386981888
1480069608328,306356224,80625664,386981888
1480069760485,306356224,80625664,386981888
1480069916045,306356224,80625664,386981888
1480070072264,306356224,80625664,386981888
1480070232664,306356224,80625664,386981888
1480070387291,306356224,80625664,386981888
1480070540746,306356224,80625664,386981888
1480070696067,306356224,80625664,386981888
1480070853512,306356224,80625664,386981888
1480071007149,305205248,80625664,385830912
1480071163263,306409472,80625664,387035136
1480071319047,306409472,80625664,387035136
1480071443081,306425856,80629760,387055616
1480071628184,306425856,80625664,387051520
1480071782533,306425856,80625664,387051520
1480071939000,306425856,80625664,387051520
1480072093420,306425856,80625664,387051520
1480072248991,306425856,80625664,387051520
1480072401736,306425856,80625664,387051520
1480072557745,306425856,80625664,387051520
1480072711675,306425856,80625664,387051520
1480072872211,306425856,80625664,387051520
1480073026184,306425856,80625664,387051520
1480073182556,306425856,80625664,387051520
1480073337861,306425856,80625664,387051520
1480073496827,306425856,80625664,387051520
1480073647863,306425856,80625664,387051520
1480073801178,306425856,80625664,387051520
1480073956916,306425856,80625664,387051520
1480074112252,306425856,80625664,387051520
1480074273384,306425856,80625664,387051520
1480074428945,306425856,80625664,387051520
1480074583227,306425856,80625664,387051520
1480074738213,306425856,80625664,387051520
1480074892402,306425856,80625664,387051520
1480075047630,306425856,80625664,387051520
1480075201719,306425856,80625664,387051520
1480075357197,306425856,80625664,387051520
1480075507454,306425856,80625664,387051520
1480075662509,306425856,80625664,387051520
1480075817154,305209344,80625664,385835008
1480075970729,306540544,80625664,387166208
1480076124689,306540544,80625664,387166208
1480076197392,306556928,80629760,387186688
1480076285526,306556928,80625664,387182592
1480076441744,306556928,80625664,387182592
1480076593343,306556928,80625664,387182592
1480076750320,306556928,80625664,387182592
1480076909902,306556928,80625664,387182592
1480077070365,306556928,80625664,387182592
1480077223298,306556928,80625664,387182592
1480077378271,306556928,80625664,387182592
1480077533569,306556928,80625664,387182592
1480077688368,306556928,80625664,387182592
1480077844939,306556928,80625664,387182592
1480077997681,306556928,80625664,387182592
1480078149770,306556928,80625664,387182592
1480078302034,306556928,80625664,387182592
1480078457961,306556928,80625664,387182592
1480078614127,306556928,80625664,387182592
1480078769364,306556928,80625664,387182592
1480078922079,306556928,80625664,387182592
1480079076553,306556928,80625664,387182592
1480079230548,306556928,80625664,387182592
1480079386728,306556928,80625664,387182592
1480079539482,306556928,80625664,387182592
1480079694308,306556928,80625664,387182592
1480079848459,306556928,80625664,387182592
1480080002798,306556928,80625664,387182592
1480080158190,306556928,80625664,387182592
1480080312850,306556928,80625664,387182592
1480080472885,306556928,80625664,387182592
1480080627793,305340416,80625664,385966080
1480080783816,306622464,80625664,387248128
1480080939672,306622464,80625664,387248128
1480081035113,306634752,80629760,387264512
1480081094282,306634752,80625664,387260416
1480081249386,306634752,80625664,387260416
1480081405927,306634752,80625664,387260416
1480081560415,306634752,80625664,387260416
1480081715441,306634752,80625664,387260416
1480081870742,306634752,80625664,387260416
1480082025658,306634752,80625664,387260416
1480082180539,306634752,80625664,387260416
1480082336818,306634752,80625664,387260416
1480082490834,306634752,80625664,387260416
1480082645796,306634752,80625664,387260416
1480082802516,306634752,80625664,387260416
1480082967010,306634752,80625664,387260416
1480083113333,306634752,80625664,387260416
1480083267308,306634752,80625664,387260416
1480083423685,306634752,80625664,387260416
1480083578809,306634752,80625664,387260416
1480083732464,306634752,80625664,387260416
1480083884872,306634752,80625664,387260416
1480084040634,306634752,80625664,387260416
1480084195365,306634752,80625664,387260416
1480084351544,306634752,80625664,387260416
1480084507266,306634752,80625664,387260416
1480084662092,306634752,80625664,387260416
1480084817297,306634752,80625664,387260416
1480084973118,306634752,80625664,387260416
1480085127614,306634752,80625664,387260416
1480085283348,306634752,80625664,387260416
1480085438971,306671616,80625664,387297280
1480085594106,306671616,80625664,387297280
1480085713021,306688000,80629760,387317760
1480085902341,306688000,80625664,387313664
1480086059083,306688000,80625664,387313664
1480086213487,306688000,80625664,387313664
1480086373723,306688000,80625664,387313664
1480086529094,306688000,80625664,387313664
1480086683839,306688000,80625664,387313664
1480086838048,306688000,80625664,387313664
1480086991597,306688000,80625664,387313664
1480087147365,306688000,80625664,387313664
1480087303222,306688000,80625664,387313664
1480087459041,306688000,80625664,387313664
1480087613367,306688000,80625664,387313664
1480087771901,306688000,80625664,387313664
1480087926086,306688000,80625664,387313664
1480088083250,306688000,80625664,387313664
1480088236716,306688000,80625664,387313664
1480088391590,306688000,80625664,387313664
1480088546054,306688000,80625664,387313664
1480088701429,306688000,80625664,387313664
1480088856981,306688000,80625664,387313664
1480089011946,306688000,80625664,387313664
1480089172041,306688000,80625664,387313664
1480089327779,306688000,80625664,387313664
1480089482940,306688000,80625664,387313664
1480089637787,306688000,80625664,387313664
1480089793140,306688000,80625664,387313664
1480089948374,306688000,80625664,387313664
1480090103469,306688000,80625664,387313664
1480090258618,309239808,80625664,389865472
1480090414455,309239808,80625664,389865472
1480090473809,309252096,80629760,389881856
1480090574486,309252096,80625664,389877760
1480090729437,309252096,80625664,389877760
1480090884848,309252096,80625664,389877760
1480091036460,309252096,80625664,389877760
1480091191668,309252096,80625664,389877760
1480091348698,309252096,80625664,389877760
1480091498712,309252096,80625664,389877760
1480091652902,309252096,80625664,389877760
1480091807140,309252096,80625664,389877760
1480091963294,309252096,80625664,389877760
1480092118636,309252096,80625664,389877760
1480092272932,309252096,80625664,389877760
1480092428395,309252096,80625664,389877760
1480092588678,309252096,80625664,389877760
1480092740851,309252096,80625664,389877760
1480092901235,309252096,80625664,389877760
1480093051485,309252096,80625664,389877760
1480093202488,309252096,80625664,389877760
